x,y
27.276573608398436,27.921
26.28223658180237,27.921
25.279862600564957,27.921
24.280162511825562,27.921
24,27.207986940145492
24,26.20100944519043
24,25.207377517700195
23.877972656249998,24.235501953125
22.97074493408203,23.921000000000003
21.97037354564667,23.921
20.970916714668274,23.921
20.104212615966798,24.264912170410156
20.001,25.253071465253832
20.000999999999998,26.239495321273804
20.001,27.256028867721554
19.673912359237672,27.921
18.6644580078125,27.921000000000003
17.68313554382324,27.921
16.678198822021486,27.92192999267578
16.004678955078127,28.56205224609375
16.001,29.563190002441402
16.001,30.55722814178467
16.08724267578125,31.546631103515622
16.951249098777772,31.919999999999995
17.938212752342224,31.92
18.94252322256565,31.919999999999998
19.94298267364502,31.919999999999998
20,32.85284611701965
20,33.8694580078125
20,34.85434043884277
20.286944763183595,35.77835006713867
21.24671286189556,35.919999999999995
22.239275878906252,35.919999999999995
23.25612646484375,35.919999999999995
23.98075071334839,35.36714450836181
23.999,34.35977334952354
23.998999999999995,33.370852659225456
23.999,32.3631645810604
24.556425107717512,31.919999999999995
25.545779433965684,31.919999999999995
26.555730096817015,31.919999999999995
27.547081432342527,31.87043277740478
27.998999999999995,31.06777187347412
27.999,30.05585664904117
27.999,29.05954835987091
27.778375820159912,28.1182780380249
