id,x,y,size,color
GrandTheftAutoV,148.0097747472875,10.750611905182112,9.25061092170547,#546A79
GrandTheftAutoSanAndreas,157.26038566899297,10.750611905182112,9.25061092170547,#546A79
GrandTheftAutoViceCity,166.51099659069843,10.750611905182112,9.25061092170547,#546A79
GranTurismo3ASpec,175.76160751240388,10.750611905182112,9.25061092170547,#546A79
CallofDutyBlackOps3,185.01221843410934,10.750611905182112,9.25061092170547,#546A79
CallofDutyBlackOpsII,194.2628293558148,10.750611905182112,9.25061092170547,#546A79
GrandTheftAutoIII,203.51344027752026,10.750611905182112,9.25061092170547,#546A79
GranTurismo4,212.76405119922572,10.750611905182112,9.25061092170547,#546A79
GranTurismo,222.01466212093118,10.750611905182112,9.25061092170547,#546A79
GranTurismo5,231.26527304263664,10.750611905182112,9.25061092170547,#546A79
FinalFantasyVII,240.5158839643421,10.750611905182112,9.25061092170547,#546A79
GranTurismo2,249.76649488604755,10.750611905182112,9.25061092170547,#546A79
FIFA16,259.017105807753,10.750611905182112,9.25061092170547,#546A79
FIFASoccer13,656.7933754410886,10.750611905182112,9.25061092170547,#546A79
FinalFantasyX,666.0439863627942,10.750611905182112,9.25061092170547,#546A79
StarWarsBattlefront2015,675.2945972844997,10.750611905182112,9.25061092170547,#546A79
FinalFantasyVIII,684.5452082062052,10.750611905182112,9.25061092170547,#546A79
GrandTheftAutoLibertyCityStories,693.7958191279107,10.750611905182112,9.25061092170547,#546A79
CallofDutyAdvancedWarfare,703.0464300496162,10.750611905182112,9.25061092170547,#546A79
FIFA17,712.2970409713217,10.750611905182112,9.25061092170547,#546A79
CrashBandicoot2CortexStrikesBack,721.5476518930273,10.750611905182112,9.25061092170547,#546A79
NeedforSpeedUnderground,730.7982628147328,10.750611905182112,9.25061092170547,#546A79
Fallout4,740.0488737364383,10.750611905182112,9.25061092170547,#546A79
Tekken3,749.2994846581438,10.750611905182112,9.25061092170547,#546A79
CrashBandicoot3Warped,758.5500955798493,10.750611905182112,9.25061092170547,#546A79
NeedforSpeedUnderground2,767.8007065015548,10.750611905182112,9.25061092170547,#546A79
MedalofHonorFrontline,120.25794198217113,20.00122282688758,9.25061092170547,#546A79
CrashBandicoot,129.5085529038766,20.00122282688758,9.25061092170547,#546A79
Uncharted3DrakesDeception,138.75916382558205,20.00122282688758,9.25061092170547,#546A79
Uncharted2AmongThieves,148.0097747472875,20.00122282688758,9.25061092170547,#546A79
FIFA12,157.26038566899297,20.00122282688758,9.25061092170547,#546A79
RedDeadRedemption,166.51099659069843,20.00122282688758,9.25061092170547,#546A79
FIFA14,175.76160751240388,20.00122282688758,9.25061092170547,#546A79
AssassinsCreedIII,185.01221843410934,20.00122282688758,9.25061092170547,#546A79
KingdomHearts,194.2628293558148,20.00122282688758,9.25061092170547,#546A79
Driver,203.51344027752026,20.00122282688758,9.25061092170547,#546A79
FIFA15,212.76405119922572,20.00122282688758,9.25061092170547,#546A79
MetalGearSolid2SonsofLiberty,222.01466212093118,20.00122282688758,9.25061092170547,#546A79
MetalGearSolid,231.26527304263664,20.00122282688758,9.25061092170547,#546A79
MetalGearSolid4GunsofthePatriots,240.5158839643421,20.00122282688758,9.25061092170547,#546A79
FinalFantasyXII,249.76649488604755,20.00122282688758,9.25061092170547,#546A79
