x,y
1.0000125825405122,3.5081996858119964
1.19375,4.48125
1.7462215423583984,5.295965194702148
2.5753631591796875,5.8290252685546875
3.5654022216796877,5.999197387695313
4.537130737304688,5.782156372070313
5.337117385864258,5.2105754852294925
5.855612516403198,4.352868318557739
5.9968017578125,3.3696533203125
5.7567626953125,2.4077392578124996
5.155170583724976,1.612925100326538
4.2946741580963135,1.124645471572876
3.3051849365234376,1.0071685791015625
2.3533782958984375,1.2699127197265625
1.5741675853729247,1.8902519702911378
1.1062813282012938,2.7641929149627686
