x,y
12.290533447265627,5
11.291960048675538,5
10.304247379302979,5
9.304541015625,5
9,4.3001548767089846
9,3.292002809047699
9,2.305270862579346
8.893047332763672,1.316777801513672
8.001746940612794,1
7.000000000000001,1
5.998253059387207,1
5.116015625,1.302734375
5,2.289973866939545
5,3.292002809047699
5,4.283949148654938
4.718643856048584,5
3.714684545993805,5
2.708039951324463,5
1.7094665527343749,5
1.007745361328125,5.590301513671875
1,6.580241394042969
1,7.58953857421875
1.053125,8.578125
1.8774223327636719,9
2.872748291492462,9
3.882770538330078,9
4.8746657371521,9
5,9.884339439868928
5,10.881351470947266
5,11.868582630157473
5.224017333984375,12.822845458984375
6.1768800735473635,13
7.167165589332581,13
8.17459659576416,13
8.964542388916016,12.529695892333983
9,11.534619140625
9,10.534069347381593
9,9.530202090740204
9.458850860595703,9
10.457034015655518,9
11.467270660400391,9
12.462261199951172,8.982758331298829
13,8.23572998046875
13,7.242480468749999
13,6.2387216806411745
12.864874267578124,5.275421142578125
