x,y
41.50712256431579,25.000000333786012
42.4753764629364,25.152384328842164
43.343756437301636,25.651925802230835
44.0212839603424,26.388228464126584
44.41273283958435,27.29142737388611
44.49098777770996,28.299514770507812
44.248468542099,29.262157058715818
43.64986472129822,30.056118392944335
42.84068560600281,30.63343620300293
41.9085147857666,30.95262756347656
40.90360550880432,30.938290643692017
39.97899479866028,30.57809796333313
39.221148061752324,29.925580358505247
38.72828521728516,29.060706710815428
38.50296630859375,28.097146606445314
38.63095140457153,27.105023860931396
39.08414602279663,26.219867420196536
39.8033203125,25.5359375
40.6875,25.1
