id,x,y
KinectJoyRide,906.5016396389883,254.516
ForzaHorizon2,931.0016396389883,254.516
InjusticeGodsAmongUs,955.5016396389883,254.516
RyseSonofRome,980.0016396389883,254.516
RiseoftheTombRaider,73.50163963898831,279.01599999999996
DeusExHumanRevolution,98.00163963898831,279.01599999999996
StarWarsKnightsoftheOldRepublicIITheSithLords,122.50163963898831,279.01599999999996
TomClancysGhostRecon2,147.0016396389883,279.01599999999996
GearsofWar4,171.5016396389883,279.01599999999996
Crysis2,196.0016396389883,279.01599999999996
Doom3,220.5016396389883,279.01599999999996
LostPlanetExtremeCondition,245.0016396389883,279.01599999999996
AlanWake,269.5016396389883,279.01599999999996
YourShapeFitnessEvolved,294.0016396389883,279.01599999999996
Prototype,318.5016396389883,279.01599999999996
TheLEGOMovieVideogame,343.0016396389883,279.01599999999996
NBA2K9,367.5016396389883,279.01599999999996
WWE12,392.0016396389883,279.01599999999996
NinjaGaiden,416.5016396389883,279.01599999999996
LEGOTheLordoftheRings,441.0016396389883,279.01599999999996
FuzionFrenzy,465.5016396389883,279.01599999999996
MirrorsEdge,490.0016396389883,279.01599999999996
YourShapeFitnessEvolved2012,514.5016396389883,279.01599999999996
SniperGhostWarrior,539.0016396389883,279.01599999999996
SunsetOverdrive,563.5016396389883,279.01599999999996
MechAssault,588.0016396389883,279.01599999999996
TomClancysRainbowSix3BlackArrow,612.5016396389883,279.01599999999996
Crackdown2,637.0016396389883,279.01599999999996
DragonAgeII,661.5016396389883,279.01599999999996
CounterStrike,686.0016396389883,279.01599999999996
TomClancysSplinterCellChaosTheory,710.5016396389883,279.01599999999996
NCAAFootball14,735.0016396389883,279.01599999999996
SonicFreeRiders,759.5016396389883,279.01599999999996
NCAAFootball13,784.0016396389883,279.01599999999996
Skate2,808.5016396389883,279.01599999999996
ForzaHorizon3,833.0016396389883,279.01599999999996
DisneyInfinity20MarvelSuperHeroes,857.5016396389883,279.01599999999996
PlantsvsZombiesGardenWarfare,882.0016396389883,279.01599999999996
DJHero,906.5016396389883,279.01599999999996
BullyScholarshipEdition,931.0016396389883,279.01599999999996
AliensvsPredator,955.5016396389883,279.01599999999996
Darksiders,980.0016396389883,279.01599999999996
Mercenaries2WorldinFlames,73.50163963898831,303.51599999999996
ForzaMotorsport,98.00163963898831,303.51599999999996
Brink,122.50163963898831,303.51599999999996
Bulletstorm,147.0016396389883,303.51599999999996
AceCombat6FiresofLiberation,171.5016396389883,303.51599999999996
NinjaGaidenII,196.0016396389883,303.51599999999996
WinningElevenProEvolutionSoccer2007AllRegionsales,220.5016396389883,303.51599999999996
NFLFever2002,245.0016396389883,303.51599999999996
NCAAFootball12,269.5016396389883,303.51599999999996
DeadSpace3,294.0016396389883,303.51599999999996
TomClancysSplinterCellBlacklist,318.5016396389883,303.51599999999996
NBA2K10,343.0016396389883,303.51599999999996
BrutalLegend,367.5016396389883,303.51599999999996
ArmyofTwoThe40thDay,392.0016396389883,303.51599999999996
NCAAFootball10,416.5016396389883,303.51599999999996
OperationFlashpointDragonRising,441.0016396389883,303.51599999999996
WipeoutInTheZone,465.5016396389883,303.51599999999996
NCAAFootball11,490.0016396389883,303.51599999999996
BlueDragon,514.5016396389883,303.51599999999996
TomClancysEndWar,539.0016396389883,303.51599999999996
LostOdyssey,563.5016396389883,303.51599999999996
MarvelUltimateAlliance2,588.0016396389883,303.51599999999996
Crysis3,612.5016396389883,303.51599999999996
TheBiggestLoserUltimateWorkout,637.0016396389883,303.51599999999996
MinecraftStoryMode,661.5016396389883,303.51599999999996
