x,y
31.78598609542847,11.703002941131594
31.572461181640627,10.75841650390625
30.59665991210938,10.682
29.603381664276128,10.682
28.598421875,10.6900625
27.60761643314362,10.682
26.614012977600098,10.682
25.858292419433596,11.067538848876953
25.807591705322267,12.063945800781251
26.085849860847,13.021158302247526
26.668596858978272,13.834854137420656
27.470089115142823,14.410024463653567
28.43531607055664,14.692047180175784
29.42800818556547,14.643323999762536
30.34394998168945,14.276502502441408
31.106288461625574,13.614013809084893
31.60193910175562,12.749150729298592
31.785327396929265,11.776175915837289
