x,y
32.204687452316286,38.397674512863155
33.12919921875,38.17173767089843
33.60000000000001,38.619140625
33.60000000000001,39.608618164062506
33.60000000000001,40.61217346191407
33.703964996337895,41.58961601257326
34.139202880859386,42.49756164550783
34.77498474121095,43.26416931152345
35.607697677612315,43.809312057495134
36.570425415039075,44.09940490722658
37.50000000000001,44.1694274902344
37.50000000000001,45.17192659378054
37.50000000000001,46.170299625396744
37.50000000000001,47.162177717685715
37.570150279998785,48.100000000000016
38.57101583480836,48.10000000000001
39.55304899215699,48.100000000000016
40.35930480957032,48.25412902832032
40.135229492187506,49.223901367187516
39.743750000000006,50.14876098632815
39.220751953125,51.00212402343752
38.55000000000001,51.745507812500016
37.781250000000014,52.38777503967287
36.9588623046875,52.93452148437501
36.03259692192078,53.31725440025331
35.0532299041748,53.545998764038096
34.061319208145136,53.59883704185487
33.0761474609375,53.51760253906251
32.110009765625,53.26125488281251
31.16534652709961,52.90312500000001
30.3125,52.392364501953125
29.543750000000003,51.742073822021496
28.862011718750004,51.01920471191407
28.2875,50.21081542968751
27.8984375,49.28679594993592
27.605761718750003,48.31826171875001
27.5,47.34375000000001
27.5,46.33593750000001
27.5,45.32812500000001
27.5,44.334063720703135
27.64908790588379,43.34885482788087
27.92602505683899,42.392866802215586
28.363652801513677,41.50054244995118
28.939959716796878,40.68048706054688
29.64429907798767,39.96380615234376
30.468750000000004,39.39057617187501
31.300542831420906,38.859375
32.181250000000006,38.40909118652343
