id,x,y,size,color
WiiSports,461.1838637453399,0,6.3039900030394005,#38454f
SuperMarioBros,467.48785374837934,0,6.3039900030394005,#38454f
MarioKartWii,473.79184375141875,0,6.3039900030394005,#38454f
WiiSportsResort,480.09583375445817,0,6.3039900030394005,#38454f
PokemonRedPokemonBlue,486.3998237574976,0,6.3039900030394005,#38454f
Tetris,492.703813760537,0,6.3039900030394005,#38454f
NewSuperMarioBros,499.0078037635764,0,6.3039900030394005,#38454f
WiiPlay,505.31179376661584,0,6.3039900030394005,#38454f
NewSuperMarioBrosWii,511.61578376965525,0,6.3039900030394005,#38454f
DuckHunt,517.9197737726946,0,6.3039900030394005,#38454f
Nintendogs,524.223763775734,0,6.3039900030394005,#38454f
MarioKartDS,530.5277537787734,0,6.3039900030394005,#38454f
PokemonGoldPokemonSilver,536.8317437818129,0,6.3039900030394005,#38454f
WiiFit,543.1357337848523,0,6.3039900030394005,#38454f
WiiFitPlus,549.4397237878917,0,6.3039900030394005,#38454f
SuperMarioWorld,555.7437137909311,0,6.3039900030394005,#38454f
BrainAgeTrainYourBraininMinutesaDay,429.66391373014284,6.3039900030394005,6.3039900030394005,#38454f
PokemonDiamondPokemonPearl,435.96790373318225,6.3039900030394005,6.3039900030394005,#38454f
SuperMarioLand,442.27189373622167,6.3039900030394005,6.3039900030394005,#38454f
SuperMarioBros3,448.5758837392611,6.3039900030394005,6.3039900030394005,#38454f
PokemonRubyPokemonSapphire,454.8798737423005,6.3039900030394005,6.3039900030394005,#38454f
BrainAge2MoreTraininginMinutesaDay,461.1838637453399,6.3039900030394005,6.3039900030394005,#38454f
PokemonBlackPokemonWhite,467.48785374837934,6.3039900030394005,6.3039900030394005,#38454f
PokémonYellowSpecialPikachuEdition,473.79184375141875,6.3039900030394005,6.3039900030394005,#38454f
PokemonXPokemonY,480.09583375445817,6.3039900030394005,6.3039900030394005,#38454f
SuperSmashBrosBrawl,486.3998237574976,6.3039900030394005,6.3039900030394005,#38454f
MarioKart7,492.703813760537,6.3039900030394005,6.3039900030394005,#38454f
AnimalCrossingWildWorld,499.0078037635764,6.3039900030394005,6.3039900030394005,#38454f
SuperMario64,505.31179376661584,6.3039900030394005,6.3039900030394005,#38454f
PokemonHeartGoldPokemonSoulSilver,511.61578376965525,6.3039900030394005,6.3039900030394005,#38454f
PokemonOmegaRubyPokemonAlphaSapphire,517.9197737726946,6.3039900030394005,6.3039900030394005,#38454f
SuperMarioGalaxy,524.223763775734,6.3039900030394005,6.3039900030394005,#38454f
SuperMarioLand26GoldenCoins,530.5277537787734,6.3039900030394005,6.3039900030394005,#38454f
SuperMario3DLand,536.8317437818129,6.3039900030394005,6.3039900030394005,#38454f
SuperMarioAllStars,543.1357337848523,6.3039900030394005,6.3039900030394005,#38454f
PokemonFireRedPokemonLeafGreen,549.4397237878917,6.3039900030394005,6.3039900030394005,#38454f
JustDance3,555.7437137909311,6.3039900030394005,6.3039900030394005,#38454f
NewSuperMarioBros2,562.0477037939705,6.3039900030394005,6.3039900030394005,#38454f
MarioKart64,568.35169379701,6.3039900030394005,6.3039900030394005,#38454f
JustDance2,574.6556838000494,6.3039900030394005,6.3039900030394005,#38454f
DonkeyKongCountry,423.3599237271034,12.607980006078801,6.3039900030394005,#38454f
AnimalCrossingNewLeaf,429.66391373014284,12.607980006078801,6.3039900030394005,#38454f
MarioPartyDS,435.96790373318225,12.607980006078801,6.3039900030394005,#38454f
SuperMarioKart,442.27189373622167,12.607980006078801,6.3039900030394005,#38454f
WiiParty,448.5758837392611,12.607980006078801,6.3039900030394005,#38454f
MarioParty8,454.8798737423005,12.607980006078801,6.3039900030394005,#38454f
GoldenEye007,461.1838637453399,12.607980006078801,6.3039900030394005,#38454f
PokemonBlack2PokemonWhite2,467.48785374837934,12.607980006078801,6.3039900030394005,#38454f
MarioSonicattheOlympicGames,473.79184375141875,12.607980006078801,6.3039900030394005,#38454f
PokémonPlatinumVersion,480.09583375445817,12.607980006078801,6.3039900030394005,#38454f
TheLegendofZeldaOcarinaofTime,486.3998237574976,12.607980006078801,6.3039900030394005,#38454f
SuperSmashBrosforWiiUand3DS,492.703813760537,12.607980006078801,6.3039900030394005,#38454f
SuperMarioGalaxy2,499.0078037635764,12.607980006078801,6.3039900030394005,#38454f
SuperMarioBros2,505.31179376661584,12.607980006078801,6.3039900030394005,#38454f
JustDance,511.61578376965525,12.607980006078801,6.3039900030394005,#38454f
TheLegendofZeldaTwilightPrincess,517.9197737726946,12.607980006078801,6.3039900030394005,#38454f
PokemonSunMoon,524.223763775734,12.607980006078801,6.3039900030394005,#38454f
MarioKart8,530.5277537787734,12.607980006078801,6.3039900030394005,#38454f
SuperSmashBrosMelee,536.8317437818129,12.607980006078801,6.3039900030394005,#38454f
MarioKartDoubleDash,543.1357337848523,12.607980006078801,6.3039900030394005,#38454f
JustDance4,549.4397237878917,12.607980006078801,6.3039900030394005,#38454f
ZumbaFitness,555.7437137909311,12.607980006078801,6.3039900030394005,#38454f
BigBrainAcademy,562.0477037939705,12.607980006078801,6.3039900030394005,#38454f
TheLegendofZelda,568.35169379701,12.607980006078801,6.3039900030394005,#38454f
DonkeyKongCountryReturns,574.6556838000494,12.607980006078801,6.3039900030394005,#38454f
PokémonEmeraldVersion,580.9596738030888,12.607980006078801,6.3039900030394005,#38454f
PokémonCrystalVersion,417.055933724064,18.9119700091182,6.3039900030394005,#38454f
SuperMarioSunshine,423.3599237271034,18.9119700091182,6.3039900030394005,#38454f
