id,x,y,size,color
KinectAdventures,181.8959232255394,123.6678980220652,16.235534313569023,#38454f
CallofDutyModernWarfare3,198.43145753910844,123.6678980220652,16.235534313569023,#38454f
CallofDutyBlackOps,214.96699185267747,123.6678980220652,16.235534313569023,#38454f
CallofDutyModernWarfare2,231.5025261662465,123.6678980220652,16.235534313569023,#38454f
Halo3,248.03806047981553,123.6678980220652,16.235534313569023,#38454f
GrandTheftAutoIV,264.57359479338453,123.6678980220652,16.235534313569023,#38454f
CallofDutyGhosts,479.5355408697819,123.6678980220652,16.235534313569023,#38454f
HaloReach,496.07107518335096,123.6678980220652,16.235534313569023,#38454f
Halo4,512.60660949692,123.6678980220652,16.235534313569023,#38454f
CallofDuty4ModernWarfare,529.142143810489,123.6678980220652,16.235534313569023,#38454f
Minecraft,545.6776781240579,123.6678980220652,16.235534313569023,#38454f
TheElderScrollsVSkyrim,132.2893202848323,140.20343233563423,16.235534313569023,#38454f
Halo2,148.82485459840134,140.20343233563423,16.235534313569023,#38454f
CallofDutyWorldatWar,165.36038891197038,140.20343233563423,16.235534313569023,#38454f
Battlefield3,181.8959232255394,140.20343233563423,16.235534313569023,#38454f
GearsofWar2,198.43145753910844,140.20343233563423,16.235534313569023,#38454f
HaloCombatEvolved,214.96699185267747,140.20343233563423,16.235534313569023,#38454f
Halo3ODST,231.5025261662465,140.20343233563423,16.235534313569023,#38454f
GearsofWar3,248.03806047981553,140.20343233563423,16.235534313569023,#38454f
KinectSports,264.57359479338453,140.20343233563423,16.235534313569023,#38454f
GearsofWar,281.10912910695356,140.20343233563423,16.235534313569023,#38454f
AssassinsCreed,297.6446634205226,140.20343233563423,16.235534313569023,#38454f
ForzaMotorsport3,314.1801977340916,140.20343233563423,16.235534313569023,#aeb6bb
FableIII,330.71573204766065,140.20343233563423,16.235534313569023,#aeb6bb
Fallout3,347.2512663612297,140.20343233563423,16.235534313569023,#aeb6bb
ForzaMotorsport4,363.7868006747987,140.20343233563423,16.235534313569023,#aeb6bb
Halo5Guardians,380.32233498836774,140.20343233563423,16.235534313569023,#aeb6bb
TheElderScrollsIVOblivion,396.8578693019368,140.20343233563423,16.235534313569023,#38454f
FableII,413.3934036155058,140.20343233563423,16.235534313569023,#38454f
FalloutNewVegas,429.92893792907483,140.20343233563423,16.235534313569023,#38454f
ForzaMotorsport2,446.46447224264386,140.20343233563423,16.235534313569023,#38454f
Left4Dead2,463.0000065562129,140.20343233563423,16.235534313569023,#38454f
LEGOIndianaJonesTheOriginalAdventures,479.5355408697819,140.20343233563423,16.235534313569023,#38454f
Left4Dead,496.07107518335096,140.20343233563423,16.235534313569023,#38454f
AssassinsCreedBrotherhood,512.60660949692,140.20343233563423,16.235534313569023,#38454f
BattlefieldBadCompany2,529.142143810489,140.20343233563423,16.235534313569023,#38454f
Borderlands,545.6776781240579,140.20343233563423,16.235534313569023,#38454f
LEGOBatmanTheVideogame,562.2132124376269,140.20343233563423,16.235534313569023,#38454f
GearsofWarUltimateEdition,578.7487467511959,140.20343233563423,16.235534313569023,#38454f
HaloTheMasterChiefCollection,595.2842810647649,140.20343233563423,16.235534313569023,#38454f
DanceCentral,132.2893202848323,156.73896664920326,16.235534313569023,#38454f
MassEffect2,148.82485459840134,156.73896664920326,16.235534313569023,#38454f
Borderlands2,165.36038891197038,156.73896664920326,16.235534313569023,#38454f
KungFuPanda,181.8959232255394,156.73896664920326,16.235534313569023,#38454f
MassEffect3,198.43145753910844,156.73896664920326,16.235534313569023,#38454f
SaintsRow2,214.96699185267747,156.73896664920326,16.235534313569023,#38454f
TomClancysSplinterCell,231.5025261662465,156.73896664920326,16.235534313569023,#38454f
NBA2K13,248.03806047981553,156.73896664920326,16.235534313569023,#38454f
